device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,algorithm,n_estimators,max_depth,algorithm_value,duration,correct
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.425,-1,all,-100,0,-100,none,random_forest,50,9,sqrt,0.9946110248565674,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.44,-1,all,-100,0,-100,none,random_forest,50,9,log2,1.0276498794555664,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.33,-1,all,-100,0,-100,none,random_forest,50,9,None,0.9702720642089844,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.3733333333333333,-1,all,-100,0,-100,none,random_forest,50,9,0.1,0.9590029716491699,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.2,0.9616103172302246,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_445,0.32,-1,all,-100,0,-100,none,random_forest,50,9,0.3,0.9922268390655518,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_445,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.4,0.9797730445861816,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.4,-1,all,-100,0,-100,none,random_forest,50,9,0.5,1.0176000595092773,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.6,0.9617581367492676,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.58,-1,all,-100,0,-100,none,random_forest,50,9,0.7,0.9616591930389404,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.34,-1,all,-100,0,-100,none,random_forest,50,9,0.8,0.9820339679718018,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.2866666666666666,-1,all,-100,0,-100,none,random_forest,50,9,0.9,1.0053422451019287,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.4666666666666666,-1,all,-100,0,-100,none,random_forest,50,9,1,1.011747121810913,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.46,-1,all,-100,0,-100,none,random_forest,50,9,2,0.9961538314819336,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.44,-1,all,-100,0,-100,none,random_forest,50,9,3,0.967350959777832,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_445,0.48,-1,all,-100,0,-100,none,random_forest,50,9,4,0.9583230018615723,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.4,-1,all,-100,0,-100,none,random_forest,50,9,5,0.9571740627288818,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.41,-1,all,-100,0,-100,none,random_forest,50,9,6,1.0093779563903809,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.46,-1,all,-100,0,-100,none,random_forest,50,9,7,0.9521439075469971,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_445,0.38,-1,all,-100,0,-100,none,random_forest,50,9,8,0.9712271690368652,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.37,-1,all,-100,0,-100,none,random_forest,50,9,9,1.0066869258880615,False
e2696f36-24d4-4eb1-a76c-567120c35689,422,WH_C_444,21,WH_C_350,0.44,-1,all,-100,0,-100,none,random_forest,50,9,10,1.0784766674041748,False
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,sqrt,1.0117459297180176,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,log2,0.9804379940032959,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,None,0.9846019744873047,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.1,0.9742410182952881,True
esp_32_106,339,WH_C_414,18,WH_C_414,1.0,-1,all,-100,0,-100,none,random_forest,50,9,0.2,0.961663007736206,True
