device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
esp_32_008,673,WH_C_640,36,WH_C_640,0.71,-1,all,-100,0,-100,none,1,random_forest,None,1.0663492679595947,True
esp_32_007,398,WH_C_442,20,WH_C_444,0.5252276676732431,-1,all,-100,0,-100,none,1,random_forest,1,1.073495864868164,False
esp_32_007,398,WH_C_442,20,WH_C_442,0.7875773439523439,-1,all,-100,0,-100,none,1,random_forest,3,1.0721168518066406,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.8433333333333334,-1,all,-100,0,-100,none,1,random_forest,5,1.1272501945495605,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.8433333333333334,-1,all,-100,0,-100,none,1,random_forest,7,1.0818941593170166,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.84,-1,all,-100,0,-100,none,1,random_forest,9,1.0932247638702393,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.87,-1,all,-100,0,-100,none,1,random_forest,11,1.0919709205627441,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.81,-1,all,-100,0,-100,none,1,random_forest,13,1.0901072025299072,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.8166666666666667,-1,all,-100,0,-100,none,1,random_forest,15,1.0686619281768799,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.8633333333333333,-1,all,-100,0,-100,none,1,random_forest,17,1.0641469955444336,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.8466666666666667,-1,all,-100,0,-100,none,1,random_forest,19,1.0732343196868896,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.7966666666666666,-1,all,-100,0,-100,none,1,random_forest,21,1.0861928462982178,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.84,-1,all,-100,0,-100,none,1,random_forest,None,1.0691659450531006,True
esp_32_302,578,WH_C_458,28,WH_C_456,0.2722610189458148,-1,all,-100,0,-100,none,1,random_forest,1,1.0726637840270996,False
esp_32_302,578,WH_C_458,28,WH_C_456,0.3364756625056153,-1,all,-100,0,-100,none,1,random_forest,3,1.0766708850860596,False
esp_32_302,578,WH_C_458,28,WH_C_406,0.2776665954239722,-1,all,-100,0,-100,none,1,random_forest,5,1.1082098484039307,False
esp_32_302,578,WH_C_458,28,WH_C_406,0.3315473975884568,-1,all,-100,0,-100,none,1,random_forest,7,1.1202671527862549,False
esp_32_302,578,WH_C_458,28,WH_C_406,0.3221537142051849,-1,all,-100,0,-100,none,1,random_forest,9,1.1015479564666748,False
esp_32_302,578,WH_C_458,28,WH_C_406,0.34459790209790203,-1,all,-100,0,-100,none,1,random_forest,11,1.0991029739379883,False
esp_32_302,578,WH_C_458,28,WH_C_405,0.31833333333333336,-1,all,-100,0,-100,none,1,random_forest,13,1.0625600814819336,False
esp_32_302,578,WH_C_458,28,WH_C_405,0.32666666666666666,-1,all,-100,0,-100,none,1,random_forest,15,1.0892539024353027,False
esp_32_302,578,WH_C_458,28,WH_C_405,0.34,-1,all,-100,0,-100,none,1,random_forest,17,1.0660271644592285,False
esp_32_302,578,WH_C_458,28,WH_C_406,0.34,-1,all,-100,0,-100,none,1,random_forest,19,1.07212495803833,False
esp_32_302,578,WH_C_458,28,WH_C_406,0.39,-1,all,-100,0,-100,none,1,random_forest,21,1.0659840106964111,False
esp_32_302,578,WH_C_458,28,WH_C_405,0.38333333333333336,-1,all,-100,0,-100,none,1,random_forest,None,1.0747361183166504,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.17391287626566038,-1,all,-100,0,-100,none,1,random_forest,1,1.0779790878295898,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.22504567442831705,-1,all,-100,0,-100,none,1,random_forest,3,1.1188480854034424,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.31073801198801204,-1,all,-100,0,-100,none,1,random_forest,5,1.1204779148101807,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.29527777777777775,-1,all,-100,0,-100,none,1,random_forest,7,1.1205811500549316,False
esp_32_300,472,WH_C_447,24,WH_C_447,0.25,-1,all,-100,0,-100,none,1,random_forest,9,1.1048641204833984,True
esp_32_300,472,WH_C_447,24,WH_C_424,0.25,-1,all,-100,0,-100,none,1,random_forest,11,1.1072790622711182,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.3233333333333333,-1,all,-100,0,-100,none,1,random_forest,13,1.086219072341919,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.2733333333333333,-1,all,-100,0,-100,none,1,random_forest,15,1.0838649272918701,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.31,-1,all,-100,0,-100,none,1,random_forest,17,1.0844578742980957,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.28,-1,all,-100,0,-100,none,1,random_forest,19,1.0866398811340332,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.24333333333333335,-1,all,-100,0,-100,none,1,random_forest,21,1.0829041004180908,False
esp_32_300,472,WH_C_447,24,WH_C_424,0.2866666666666667,-1,all,-100,0,-100,none,1,random_forest,None,1.110741138458252,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.18070470278128978,-1,all,-100,0,-100,none,1,random_forest,1,1.0691289901733398,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.4526072007880618,-1,all,-100,0,-100,none,1,random_forest,3,1.076094150543213,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.6237721439998154,-1,all,-100,0,-100,none,1,random_forest,5,1.115190029144287,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.6942777777777778,-1,all,-100,0,-100,none,1,random_forest,7,1.0962738990783691,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.6966666666666667,-1,all,-100,0,-100,none,1,random_forest,9,1.1063377857208252,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7033333333333334,-1,all,-100,0,-100,none,1,random_forest,11,1.085263967514038,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7033333333333334,-1,all,-100,0,-100,none,1,random_forest,13,1.0709590911865234,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7033333333333334,-1,all,-100,0,-100,none,1,random_forest,15,1.0708632469177246,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7366666666666667,-1,all,-100,0,-100,none,1,random_forest,17,1.0706219673156738,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7366666666666667,-1,all,-100,0,-100,none,1,random_forest,19,1.068293809890747,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7066666666666667,-1,all,-100,0,-100,none,1,random_forest,21,1.0746307373046875,False
e2696f36-24d4-4eb1-a76c-567120c35689,317,WH_C_405,16,WH_C_404,0.7033333333333334,-1,all,-100,0,-100,none,1,random_forest,None,1.1172139644622803,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.2260179708803962,-1,all,-100,0,-100,none,1,random_forest,1,1.1080000400543213,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.5517548715492234,-1,all,-100,0,-100,none,1,random_forest,3,1.0937950611114502,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.6960804720898693,-1,all,-100,0,-100,none,1,random_forest,5,1.1007270812988281,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.7299092419018891,-1,all,-100,0,-100,none,1,random_forest,7,1.1081128120422363,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.7047222222222221,-1,all,-100,0,-100,none,1,random_forest,9,1.1315038204193115,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.73,-1,all,-100,0,-100,none,1,random_forest,11,1.0928401947021484,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.73,-1,all,-100,0,-100,none,1,random_forest,13,1.0879578590393066,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.74,-1,all,-100,0,-100,none,1,random_forest,15,1.0889179706573486,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.76,-1,all,-100,0,-100,none,1,random_forest,17,1.1024129390716553,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.7533333333333333,-1,all,-100,0,-100,none,1,random_forest,19,1.090904951095581,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.6666666666666666,-1,all,-100,0,-100,none,1,random_forest,21,1.0884249210357666,False
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,611,WH_C_624,31,WH_C_334,0.7266666666666667,-1,all,-100,0,-100,none,1,random_forest,None,1.0953810214996338,False
esp_32_302,421,WH_C_444,21,WH_C_444,0.4015946940831226,-1,all,-100,0,-100,none,1,random_forest,1,1.0719950199127197,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.8710178916746183,-1,all,-100,0,-100,none,1,random_forest,3,1.096907138824463,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.9283939393939393,-1,all,-100,0,-100,none,1,random_forest,5,1.1673359870910645,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.92,-1,all,-100,0,-100,none,1,random_forest,7,1.090630054473877,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.9033333333333333,-1,all,-100,0,-100,none,1,random_forest,9,1.076395034790039,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.93,-1,all,-100,0,-100,none,1,random_forest,11,1.0831828117370605,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.9266666666666666,-1,all,-100,0,-100,none,1,random_forest,13,1.0752787590026855,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.91,-1,all,-100,0,-100,none,1,random_forest,15,1.062196969985962,True
