device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,gamma_value,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.7700034799936295,all,-100,0,-100,none,scale,svm_rbf,100,0.9855198860168457,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.8726311134907859,all,-100,0,-100,none,auto,svm_rbf,100,0.966270923614502,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.7793140862374313,all,-100,0,-100,none,scale,svm_rbf,1000,0.9899499416351318,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,216,WH_C_357,11,WH_C_357,0.8762341789006053,all,-100,0,-100,none,auto,svm_rbf,1000,1.0119140148162842,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7586648026260577,all,-100,0,-100,none,scale,svm_rbf,0.001,1.0255208015441895,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7934150739737174,all,-100,0,-100,none,auto,svm_rbf,0.001,1.0084211826324463,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.6806663744406882,all,-100,0,-100,none,scale,svm_rbf,0.01,0.9929492473602295,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7405522875239259,all,-100,0,-100,none,auto,svm_rbf,0.01,0.9961678981781006,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.6941086851745681,all,-100,0,-100,none,scale,svm_rbf,0.1,0.9829409122467041,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.75339656135295,all,-100,0,-100,none,auto,svm_rbf,0.1,1.0560271739959717,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.5682734113391921,all,-100,0,-100,none,scale,svm_rbf,1,1.0529980659484863,True
esp_32_302,421,WH_C_444,21,WH_C_445,0.7153915093629833,all,-100,0,-100,none,auto,svm_rbf,1,1.0573770999908447,False
esp_32_302,421,WH_C_444,21,WH_C_444,0.5576221155272483,all,-100,0,-100,none,scale,svm_rbf,10,1.0250358581542969,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7636717130421707,all,-100,0,-100,none,auto,svm_rbf,10,1.0395419597625732,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.6375389784921099,all,-100,0,-100,none,scale,svm_rbf,100,1.0326781272888184,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7413388607466731,all,-100,0,-100,none,auto,svm_rbf,100,1.0314738750457764,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7287574805441306,all,-100,0,-100,none,scale,svm_rbf,1000,0.9721341133117676,True
esp_32_302,421,WH_C_444,21,WH_C_444,0.7647079754831267,all,-100,0,-100,none,auto,svm_rbf,1000,0.9610941410064697,True
