device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,value_scaling_strategy,algorithm,algorithm_value,duration,correct
esp_32_009,674,WH_C_640,36,WH_C_640,22.67156809750927,all,-100,0,none,knn_euclidean,5.0,0.979583978652954,True
esp_32_009,674,WH_C_640,36,WH_C_640,22.67156809750927,all,-100,0,none,knn_euclidean,7.0,1.002528190612793,True
esp_32_009,674,WH_C_640,36,WH_C_640,22.67156809750927,all,-100,0,none,knn_euclidean,9.0,0.9797320365905762,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.0343642611683848,all,-100,0,none,knn_sorensen,5.0,0.9779019355773926,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.0343642611683848,all,-100,0,none,knn_sorensen,7.0,0.96173095703125,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.0343642611683848,all,-100,0,none,knn_sorensen,9.0,0.9931440353393556,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.25,all,-100,0,none,random_forest,100.0,1.044309139251709,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.295,all,-100,0,none,random_forest,200.0,1.0515708923339844,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.2625,all,-100,0,none,random_forest,300.0,1.1120572090148926,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.7859488772528687,all,-100,0,none,svm_linear,0.001,0.978222131729126,True
esp_32_009,674,WH_C_640,36,WH_C_635,0.7665278749672111,all,-100,0,none,svm_linear,0.005,0.978607177734375,False
esp_32_009,674,WH_C_640,36,WH_C_640,0.6953484433616755,all,-100,0,none,svm_rbf,5.0,0.982081174850464,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.7138672019086985,all,-100,0,none,svm_rbf,1.0,0.9791901111602784,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.7196750501150628,all,-100,0,none,svm_rbf,0.5,0.9827399253845216,True
esp_32_009,674,WH_C_640,36,WH_C_640,12.727922061357855,eduroam,-100,0,none,knn_euclidean,5.0,0.9970622062683104,True
esp_32_009,674,WH_C_640,36,WH_C_640,12.727922061357855,eduroam,-100,0,none,knn_euclidean,7.0,0.991013765335083,True
esp_32_009,674,WH_C_640,36,WH_C_640,12.727922061357855,eduroam,-100,0,none,knn_euclidean,9.0,0.9731979370117188,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.0262096774193548,eduroam,-100,0,none,knn_sorensen,5.0,0.979660987854004,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.0262096774193548,eduroam,-100,0,none,knn_sorensen,7.0,0.976149082183838,True
esp_32_009,674,WH_C_640,36,WH_C_640,0.0262096774193548,eduroam,-100,0,none,knn_sorensen,9.0,0.9741029739379884,True
esp_32_009,674,WH_C_640,36,WH_C_414,0.35,eduroam,-100,0,none,random_forest,100.0,1.017899990081787,False
