device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_rssi_threshold,value_scaling_strategy,weights,algorithm,algorithm_value,duration,correct
esp_32_007,398,WH_C_442,20,WH_C_442,0.1980883698443038,eduroam,-100,-100,positive,distance,knn_euclidean,7.0,1.0831410884857178,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.1980883698443038,eduroam,-100,-100,positive,distance,knn_euclidean,9.0,1.0359370708465576,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.0525672371638142,eduroam,-100,-100,positive,distance,knn_sorensen,5.0,0.968297004699707,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.0525672371638142,eduroam,-100,-100,positive,distance,knn_sorensen,7.0,0.9637188911437988,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.0525672371638142,eduroam,-100,-100,positive,distance,knn_sorensen,9.0,0.975614070892334,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.7102520965790846,eduroam,-100,-100,positive,distance,svm_linear,0.001,0.9965460300445556,True
esp_32_007,398,WH_C_442,20,WH_C_444,0.7212521829904701,eduroam,-100,-100,positive,distance,svm_linear,0.005,0.9675471782684326,False
esp_32_007,398,WH_C_442,20,WH_C_442,0.6868464209146283,eduroam,-100,-100,positive,distance,svm_linear,0.01,0.9642088413238524,True
esp_32_007,398,WH_C_442,20,WH_C_444,0.6268565657272835,eduroam,-100,-100,positive,distance,svm_rbf,5.0,0.9709489345550536,False
esp_32_007,398,WH_C_442,20,WH_C_442,0.5213550617890772,eduroam,-100,-100,positive,distance,svm_rbf,1.0,0.9682049751281738,True
esp_32_007,398,WH_C_442,20,WH_C_442,0.5574976756888795,eduroam,-100,-100,positive,distance,svm_rbf,0.5,0.99048113822937,True
e2696f36-24d4-4eb1-a76c-567120c35689,460,WH_C_445,22,WH_C_445,30.610455730027933,eduroam,-100,-100,none,distance,knn_euclidean,5.0,1.0030360221862793,True
e2696f36-24d4-4eb1-a76c-567120c35689,460,WH_C_445,22,WH_C_445,30.610455730027933,eduroam,-100,-100,none,distance,knn_euclidean,7.0,0.9876031875610352,True
e2696f36-24d4-4eb1-a76c-567120c35689,460,WH_C_445,22,WH_C_445,30.610455730027933,eduroam,-100,-100,none,distance,knn_euclidean,9.0,0.9696938991546632,True
e2696f36-24d4-4eb1-a76c-567120c35689,460,WH_C_445,22,WH_C_445,0.0436067997043606,eduroam,-100,-100,none,distance,knn_sorensen,5.0,0.9757449626922609,True
e2696f36-24d4-4eb1-a76c-567120c35689,460,WH_C_445,22,WH_C_445,0.0436067997043606,eduroam,-100,-100,none,distance,knn_sorensen,7.0,0.9788529872894288,True
