device_id,measurement_id,room_name,room_id,predict_room,distance,optional_value,router_selection,handle_missing_values_strategy,router_presence_threshold,router_rssi_threshold,value_scaling_strategy,max_depth,algorithm,algorithm_value,duration,correct
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.67,-1,all,-100,0,-100,none,9,random_forest,300,1.1185331344604492,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6991506410256412,-1,all,-100,0,-100,none,9,random_forest,400,1.2003390789031982,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7189327485380117,-1,all,-100,0,-100,none,9,random_forest,500,1.2219440937042236,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7008333333333333,-1,all,-100,0,-100,none,9,random_forest,600,1.3381729125976562,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6942857142857143,-1,all,-100,0,-100,none,9,random_forest,700,1.318058967590332,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7075,-1,all,-100,0,-100,none,9,random_forest,800,1.3564190864562988,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.6922222222222222,-1,all,-100,0,-100,none,9,random_forest,900,1.4032671451568604,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,357,WH_C_414,18,WH_C_414,0.7127719298245613,-1,all,-100,0,-100,none,9,random_forest,1000,1.423935890197754,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.4,-1,all,-100,0,-100,none,9,random_forest,10,0.9826858043670654,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.55,-1,all,-100,0,-100,none,9,random_forest,20,0.9519069194793701,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.6666666666666666,-1,all,-100,0,-100,none,9,random_forest,30,0.9812600612640381,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.55,-1,all,-100,0,-100,none,9,random_forest,40,0.9759290218353271,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.52,-1,all,-100,0,-100,none,9,random_forest,50,0.9916951656341553,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5166666666666667,-1,all,-100,0,-100,none,9,random_forest,60,0.9718210697174072,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5,-1,all,-100,0,-100,none,9,random_forest,70,1.0079271793365479,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5125,-1,all,-100,0,-100,none,9,random_forest,80,1.0144379138946533,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5444444444444444,-1,all,-100,0,-100,none,9,random_forest,90,1.0339629650115967,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.46,-1,all,-100,0,-100,none,9,random_forest,100,0.9975049495697021,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.505,-1,all,-100,0,-100,none,9,random_forest,200,1.0251922607421875,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5539999999999999,-1,all,-100,0,-100,none,9,random_forest,300,1.068551778793335,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.46875,-1,all,-100,0,-100,none,9,random_forest,400,1.1329238414764404,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.544,-1,all,-100,0,-100,none,9,random_forest,500,1.161323070526123,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.518,-1,all,-100,0,-100,none,9,random_forest,600,1.2330880165100098,True
ea639e9b-5f04-407f-a5c1-4a4a5623ac4b,418,WH_C_444,21,WH_C_444,0.5382234432234433,-1,all,-100,0,-100,none,9,random_forest,700,1.2706921100616455,True
