device_id,measurement_id,room_name,room_id,predict_room,distance,router_selection,handle_missing_values_strategy,router_presence_threshold,value_scaling_strategy,algorithm,algorithm_value,duration,correct
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.0,none,knn_euclidean,5.0,0.9869260787963868,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.0,none,knn_euclidean,7.0,0.9768579006195068,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.0,none,knn_euclidean,9.0,0.9657609462738036,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.0,none,knn_sorensen,5.0,0.9722540378570556,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.0,none,knn_sorensen,7.0,0.9738008975982666,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.0,none,knn_sorensen,9.0,1.034372091293335,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5220784669921815,eduroam,-100,0.0,none,svm_linear,0.001,0.97438383102417,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5522817361130005,eduroam,-100,0.0,none,svm_linear,0.005,1.0029900074005127,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.5580564882163117,eduroam,-100,0.0,none,svm_linear,0.01,0.9747798442840576,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.640019027655198,eduroam,-100,0.0,none,svm_rbf,5.0,0.9778833389282228,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.640708453743184,eduroam,-100,0.0,none,svm_rbf,1.0,0.9760069847106934,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.6942029090669855,eduroam,-100,0.0,none,svm_rbf,0.5,0.9725050926208496,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.25,none,knn_euclidean,5.0,0.9608681201934814,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.25,none,knn_euclidean,7.0,0.9738171100616456,True
esp_32_205,171,WH_C_355,9,WH_C_355,10.246950765959598,eduroam,-100,0.25,none,knn_euclidean,9.0,0.9639739990234376,True
esp_32_205,171,WH_C_355,9,WH_C_355,0.0226155358898721,eduroam,-100,0.25,none,knn_sorensen,5.0,0.9616551399230956,True
